2019/07/09 06:43:18 [warn] 7#7: *4 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "127.0.0.1:3500"
2019/07/16 05:20:11 [warn] 6#6: *27 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 05:27:03 [warn] 6#6: *33 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 05:28:48 [warn] 6#6: *36 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 05:59:45 [warn] 7#7: *40 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 06:56:40 [warn] 6#6: *42 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 06:58:58 [warn] 6#6: *49 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 06:59:09 [warn] 6#6: *49 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 07:06:47 [warn] 6#6: *53 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 07:13:50 [warn] 6#6: *59 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/00/0000000009 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 07:20:01 [warn] 6#6: *1 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
