[09-Jul-2019 15:40:29 Asia/Tokyo] PHP Warning:  require(/work/public/../vendor/autoload.php): failed to open stream: No such file or directory in /work/public/index.php on line 24
[09-Jul-2019 15:40:29 Asia/Tokyo] PHP Stack trace:
[09-Jul-2019 15:40:29 Asia/Tokyo] PHP   1. {main}() /work/public/index.php:0
[18-Jul-2019 14:15:16 UTC] PHP Fatal error:  Cannot declare class App\User because the name is already in use in /work/app/User.php on line 11
[18-Jul-2019 14:15:16 UTC] PHP Stack trace:
[18-Jul-2019 14:15:16 UTC] PHP   1. {main}() /work/public/index.php:0
[18-Jul-2019 14:15:16 UTC] PHP   2. App\Http\Kernel->handle() /work/public/index.php:55
[18-Jul-2019 14:15:16 UTC] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116
[18-Jul-2019 14:15:16 UTC] PHP   4. Illuminate\Routing\Pipeline->then() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151
[18-Jul-2019 14:15:16 UTC] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104
[18-Jul-2019 14:15:16 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:15:16 UTC] PHP   7. App\Http\Middleware\CheckForMaintenanceMode->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:15:16 UTC] PHP   8. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62
[18-Jul-2019 14:15:16 UTC] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:15:16 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:15:16 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
